"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","433","Filter icon (funnel) is displayed next to the dropdown","Surefire suite","2026-05-20","passed","2026-05-20","test.FilterTest","Surefire test","test.FilterTest","tc014_filterIconIsVisible"
"","690","Selecting 'Name (Z to A)' sorts products alphabetically descending","Surefire suite","2026-05-20","passed","2026-05-20","test.FilterTest","Surefire test","test.FilterTest","tc006_nameZtoASortsCorrectly"
"","5588","Selecting 'Price (low to high)' sorts products by price descending","Surefire suite","2026-05-20","failed","2026-05-20","test.FilterTest","Surefire test","test.FilterTest","tc037_visualUserPriceLowToHighDoesNotWork"
"","717","Filter selection persists after scrolling","Surefire suite","2026-05-20","passed","2026-05-20","test.FilterTest","Surefire test","test.FilterTest","tc010_filterPersistsAfterScrolling"
"","597","verifyUserCanAddItemToCartAndBadgeShowsOne","Surefire suite","2026-05-20","passed","2026-05-20","test.CartTest","Surefire test","test.CartTest","verifyUserCanAddItemToCartAndBadgeShowsOne"
"","1288","verifyCartIconDoesNotRemoveExtraItems","Surefire suite","2026-05-20","failed","2026-05-20","test.CartTest","Surefire test","test.CartTest","verifyCartIconDoesNotRemoveExtraItems"
"","0","'Pressing ""Reset All item ""  change the selestion of items to its original state ""Add to cart"" button ","Surefire suite","2026-05-20","skipped","2026-05-20","test.SideMenuTest","Surefire test","test.SideMenuTest","tc040_visualUserResetDoesNotRestoreAddToCart"
"","0","Menu state is not persisted after page refresh","Surefire suite","2026-05-20","skipped","2026-05-20","test.SideMenuTest","Surefire test","test.SideMenuTest","tc010_menuClosedAfterPageRefresh"
"","0","'About' navigates to the About page","Surefire suite","2026-05-20","skipped","2026-05-20","test.SideMenuTest","Surefire test","test.SideMenuTest","tc038_problemUserAboutNavigatesTo404"
"","495","Filter dropdown is aligned to the top-right of the product list","Surefire suite","2026-05-20","passed","2026-05-20","test.FilterTest","Surefire test","test.FilterTest","tc013_filterDropdownAlignedToTopRight"
"","0","'Reset App State' resets the app correctly","Surefire suite","2026-05-20","skipped","2026-05-20","test.SideMenuTest","Surefire test","test.SideMenuTest","tc007_resetAppStateClearsCart"
"","10770","verifyBadgeDisappearsAfterRemove","Surefire suite","2026-05-20","passed","2026-05-20","test.CartTest","Surefire test","test.CartTest","verifyBadgeDisappearsAfterRemove"
"","1019","Filter resets to default after page refresh","Surefire suite","2026-05-20","passed","2026-05-20","test.FilterTest","Surefire test","test.FilterTest","tc026_filterResetsAfterRefresh"
"","0","'Reset App State' leads to confirmation prompt befor resting","Surefire suite","2026-05-20","skipped","2026-05-20","test.SideMenuTest","Surefire test","test.SideMenuTest","tc037_resetAppStateNoConfirmationPrompt"
"","3249","Filter does not persist after Logout and re-Login","Surefire suite","2026-05-20","passed","2026-05-20","test.FilterTest","Surefire test","test.FilterTest","tc027_filterDoesNotPersistAfterLogout"
"","11119","verifyUserCanRemoveItemFromCartPage","Surefire suite","2026-05-20","passed","2026-05-20","test.CartTest","Surefire test","test.CartTest","verifyUserCanRemoveItemFromCartPage"
"","0","'Logout' logs out user and redirects to login page","Surefire suite","2026-05-20","skipped","2026-05-20","test.SideMenuTest","Surefire test","test.SideMenuTest","tc006_logoutRedirectsToLoginPage"
"","0","'All Items' navigates to the inventory page keeps the price of items the same","Surefire suite","2026-05-20","skipped","2026-05-20","test.SideMenuTest","Surefire test","test.SideMenuTest","tc039_visualUserPricesChangeAfterAllItems"
"","4685","Rapid filter switching does not cause state corruption","Surefire suite","2026-05-20","passed","2026-05-20","test.FilterTest","Surefire test","test.FilterTest","tc025_rapidFilterSwitchingNoCorruption"
"","748","Selecting 'Price (low to high)' sorts products by price ascending","Surefire suite","2026-05-20","passed","2026-05-20","test.FilterTest","Surefire test","test.FilterTest","tc007_priceLowToHighSortsCorrectly"
"","5284","Dropdown closes after a selection is made","Surefire suite","2026-05-20","failed","2026-05-20","test.FilterTest","Surefire test","test.FilterTest","tc015_problemUserFilterDoesNotWork"
"","748","Selecting 'Price (high to low)' sorts products by price descending","Surefire suite","2026-05-20","passed","2026-05-20","test.FilterTest","Surefire test","test.FilterTest","tc008_priceHighToLowSortsCorrectly"
"","1210","'All Items' navigates to the inventory page","Surefire suite","2026-05-20","passed","2026-05-20","test.SideMenuTest","Surefire test","test.SideMenuTest","tc004_allItemsNavigatesToInventoryPage"
"","426","Validate that Filter dropdown is visible on the inventory page","Surefire suite","2026-05-20","passed","2026-05-20","test.FilterTest","Surefire test","test.FilterTest","tc001_filterDropdownIsVisible"
"","733","Selected option is highlighted in the dropdown","Surefire suite","2026-05-20","passed","2026-05-20","test.FilterTest","Surefire test","test.FilterTest","tc009_selectedOptionIsHighlighted"
"","681","Dropdown closes when user clicks outside it","Surefire suite","2026-05-20","passed","2026-05-20","test.FilterTest","Surefire test","test.FilterTest","tc016_dropdownClosesOnOutsideClick"
"","636","Price sort handles two products with the same price correctly","Surefire suite","2026-05-20","passed","2026-05-20","test.FilterTest","Surefire test","test.FilterTest","tc020_samePriceHandledCorrectly"
"","0","Menu closes automatically after selecting a menu item","Surefire suite","2026-05-20","skipped","2026-05-20","test.SideMenuTest","Surefire test","test.SideMenuTest","tc008_menuClosesAfterSelectingItem"
"","1722","Switching between all 4 options updates the product list each time","Surefire suite","2026-05-20","passed","2026-05-20","test.FilterTest","Surefire test","test.FilterTest","tc012_allFilterOptionsSortCorrectly"
"","0","preconditions","Surefire suite","2026-05-20","broken","2026-05-20","test.SideMenuTest","Surefire test","test.SideMenuTest","preconditions"
"","1655","Filter is functional after 'Reset App State'","Surefire suite","2026-05-20","passed","2026-05-20","test.FilterTest","Surefire test","test.FilterTest","tc028_filterWorksAfterResetAppState"
"","894","Dropdown label updates to reflect selected option","Surefire suite","2026-05-20","passed","2026-05-20","test.FilterTest","Surefire test","test.FilterTest","tc019_dropdownLabelUpdatesAfterSelection"
"","7","Clicking/tapping outside the menu overlay closes the menu","Surefire suite","2026-05-20","skipped","2026-05-20","test.SideMenuTest","Surefire test","test.SideMenuTest","tc009_clickingOutsideClosesMenu"
"","553","Filter dropdown shows all 4 options with correct labels","Surefire suite","2026-05-20","passed","2026-05-20","test.FilterTest","Surefire test","test.FilterTest","tc004_filterDropdownHasAllFourOptions"
"","830","Product count remains the same after applying any filter","Surefire suite","2026-05-20","passed","2026-05-20","test.FilterTest","Surefire test","test.FilterTest","tc018_productCountRemainsTheSame"
"","1270","Side menu opens when hamburger icon is tapped","Surefire suite","2026-05-20","passed","2026-05-20","test.SideMenuTest","Surefire test","test.SideMenuTest","tc001_menuOpensOnHamburgerClick"
"","595","verifyUserCanRemoveItemFromInventory","Surefire suite","2026-05-20","passed","2026-05-20","test.CartTest","Surefire test","test.CartTest","verifyUserCanRemoveItemFromInventory"
"","8224","'About' navigates to the About page","Surefire suite","2026-05-20","passed","2026-05-20","test.SideMenuTest","Surefire test","test.SideMenuTest","tc005_aboutNavigatesToAboutPage"
"","940","verifyCheckoutWithEmptyCartShowsError","Surefire suite","2026-05-20","failed","2026-05-20","test.CartTest","Surefire test","test.CartTest","verifyCheckoutWithEmptyCartShowsError"
"","589","Clicking the filter dropdown opens the option list","Surefire suite","2026-05-20","passed","2026-05-20","test.FilterTest","Surefire test","test.FilterTest","tc003_filterDropdownOpensOnClick"
"","1790","Side menu closes when X button is clicked","Surefire suite","2026-05-20","passed","2026-05-20","test.SideMenuTest","Surefire test","test.SideMenuTest","tc002_menuClosesOnXButton"
"","788","Filter persists after adding item to cart","Surefire suite","2026-05-20","passed","2026-05-20","test.FilterTest","Surefire test","test.FilterTest","tc011_filterPersistsAfterAddingToCart"
